=== MATCH SCHEDULE FOR SUNDAY ===
01:30 PM - 01:55 PM | AMD21  | Court 7
01:30 PM - 01:55 PM | AMD22  | Court 8
01:30 PM - 01:40 PM | DMD67  | Court 13
01:30 PM - 01:40 PM | DMD69  | Court 14
01:30 PM - 01:40 PM | DMD71  | Court 15
01:30 PM - 01:40 PM | DMD72  | Court 16
01:30 PM - 01:40 PM | DMD74  | Court 17
01:30 PM - 01:40 PM | DMD76  | Court 18
01:30 PM - 01:40 PM | DMD78  | Court 19
01:30 PM - 01:40 PM | DMD80  | Court 9
01:30 PM - 01:40 PM | DMD81  | Court 10
01:30 PM - 01:40 PM | DMD82  | Court 11
01:30 PM - 01:40 PM | DMD84  | Court 12
01:40 PM - 01:50 PM | DMD86  | Court 13
01:40 PM - 01:50 PM | DMD89  | Court 14
01:40 PM - 01:50 PM | DMD91  | Court 15
01:40 PM - 01:50 PM | DMD93  | Court 16
01:40 PM - 01:50 PM | DMD95  | Court 17
01:40 PM - 01:50 PM | DWD88  | Court 18
01:40 PM - 01:50 PM | CMD65  | Court 19
01:40 PM - 01:50 PM | CMD67  | Court 9
01:40 PM - 01:50 PM | CMD69  | Court 10
01:40 PM - 01:50 PM | CMD71  | Court 11
01:40 PM - 01:50 PM | CMD72  | Court 12
01:50 PM - 02:15 PM | AMD23  | Court 5
01:50 PM - 02:15 PM | AMD24  | Court 6
01:50 PM - 02:00 PM | CMD73  | Court 13
01:50 PM - 02:00 PM | CMD74  | Court 14
01:50 PM - 02:00 PM | CMD76  | Court 15
01:50 PM - 02:00 PM | CMD78  | Court 16
01:50 PM - 02:00 PM | CMD80  | Court 17
01:50 PM - 02:00 PM | CMD82  | Court 18
01:50 PM - 02:00 PM | CMD84  | Court 19
01:50 PM - 02:00 PM | CMD86  | Court 1
01:50 PM - 02:00 PM | CMD91  | Court 2
01:50 PM - 02:00 PM | CMD93  | Court 3
01:50 PM - 02:00 PM | CMD95  | Court 4
01:50 PM - 02:15 PM | DMD57  | Court 9
01:50 PM - 02:15 PM | DMD58  | Court 10
01:50 PM - 02:15 PM | DMD59  | Court 11
01:50 PM - 02:15 PM | DMD60  | Court 12
01:55 PM - 02:20 PM | ABWD2  | Court 7
01:55 PM - 02:20 PM | ABWD3  | Court 8
02:00 PM - 02:25 PM | DWD57  | Court 13
02:00 PM - 02:25 PM | DWD58  | Court 14
02:00 PM - 02:25 PM | DWD59  | Court 15
02:00 PM - 02:25 PM | DWD60  | Court 16
02:00 PM - 02:25 PM | BMD25  | Court 1
02:00 PM - 02:25 PM | BMD26  | Court 2
02:00 PM - 02:25 PM | BMD27  | Court 3
02:00 PM - 02:25 PM | BMD28  | Court 4
02:00 PM - 02:25 PM | CMD57  | Court 17
02:00 PM - 02:25 PM | CMD58  | Court 18
02:00 PM - 02:25 PM | CMD59  | Court 19
02:15 PM - 02:40 PM | CMD60  | Court 9
02:15 PM - 02:40 PM | AMD25  | Court 5
02:15 PM - 02:40 PM | AMD26  | Court 6
02:15 PM - 02:40 PM | CWD25  | Court 10
02:15 PM - 02:40 PM | CWD26  | Court 11
02:15 PM - 02:40 PM | CWD27  | Court 12
02:20 PM - 02:45 PM | AMD27  | Court 7
02:20 PM - 02:45 PM | CWD28  | Court 8
02:25 PM - 02:35 PM | DMD96  | Court 13
02:25 PM - 02:35 PM | DMD97  | Court 14
02:25 PM - 02:35 PM | DMD98  | Court 15
02:25 PM - 02:35 PM | DMD99  | Court 16
02:25 PM - 02:35 PM | DMD100 | Court 17
02:25 PM - 02:35 PM | DMD101 | Court 18
02:25 PM - 02:35 PM | DMD102 | Court 19
02:25 PM - 02:35 PM | DMD103 | Court 1
02:25 PM - 02:35 PM | DWD96  | Court 2
02:25 PM - 02:35 PM | DWD97  | Court 3
02:25 PM - 02:35 PM | DWD98  | Court 4
02:35 PM - 02:45 PM | DWD99  | Court 13
02:35 PM - 02:45 PM | DWD100 | Court 14
02:35 PM - 02:45 PM | DWD101 | Court 15
02:35 PM - 02:45 PM | DWD102 | Court 16
02:35 PM - 02:45 PM | DWD103 | Court 17
02:35 PM - 02:45 PM | BMD33  | Court 18
02:35 PM - 02:45 PM | BMD35  | Court 19
02:35 PM - 02:45 PM | BMD36  | Court 1
02:35 PM - 02:45 PM | BMD37  | Court 2
02:35 PM - 02:45 PM | BMD38  | Court 3
02:35 PM - 02:45 PM | BMD40  | Court 4
02:40 PM - 03:05 PM | AMD28  | Court 5
02:40 PM - 02:50 PM | BMD42  | Court 9
02:40 PM - 02:50 PM | BMD47  | Court 10
02:40 PM - 02:50 PM | CMD96  | Court 11
02:40 PM - 02:50 PM | CMD97  | Court 12
02:40 PM - 02:50 PM | CMD98  | Court 6
02:45 PM - 02:55 PM | CMD99  | Court 13
02:45 PM - 02:55 PM | CMD100 | Court 14
02:45 PM - 02:55 PM | CMD101 | Court 15
02:45 PM - 02:55 PM | CMD102 | Court 16
02:45 PM - 02:55 PM | CMD103 | Court 17
02:45 PM - 02:55 PM | AMD44  | Court 1
02:45 PM - 02:55 PM | CWD41  | Court 18
02:45 PM - 02:55 PM | CWD42  | Court 19
02:45 PM - 02:55 PM | CWD43  | Court 2
02:45 PM - 02:55 PM | CWD44  | Court 3
02:45 PM - 02:55 PM | CWD45  | Court 4
02:45 PM - 02:55 PM | CWD46  | Court 7
02:45 PM - 02:55 PM | CWD47  | Court 8
02:50 PM - 03:15 PM | ABWD5  | Court 6
02:50 PM - 03:00 PM | DMD104 | Court 9
02:50 PM - 03:00 PM | DMD105 | Court 10
02:50 PM - 03:00 PM | DMD106 | Court 11
02:50 PM - 03:00 PM | DMD107 | Court 12
02:55 PM - 03:20 PM | ABWD6  | Court 7
02:55 PM - 03:05 PM | DWD104 | Court 13
02:55 PM - 03:05 PM | DWD105 | Court 14
02:55 PM - 03:05 PM | DWD106 | Court 15
02:55 PM - 03:05 PM | DWD107 | Court 16
02:55 PM - 03:05 PM | BMD48  | Court 17
02:55 PM - 03:05 PM | BMD50  | Court 18
